"Data","Brasil - Todas","Brasil - Todas"
"2024-06",5966683140783.92,5966683140783.92
"2024-07",5994950508551.34,5994950508551.34
"2024-08",6061927013039.1,6061927013039.1
"2024-09",6141933484966.06,6141933484966.06
"2024-10",6201949605596.59,6201949605596.59
"2024-11",6291980783657.39,6291980783657.39
"2024-12",6397927148013.68,6397927148013.68
"2025-01",6397330666624.83,6397330666624.83
"2025-02",6449472816057.99,6449472816057.99
"2025-03",6516186397397.37,6516186397397.37
"2025-04",6537048635101.45,6537048635101.45
"2025-05",6595459905687.57,6595459905687.57
"2025-06",6624746894302.14,6624746894302.14
