"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas"
"2019-02",7.47,7.47,6.34
"2019-03",7.51,7.51,6.39
"2019-04",7.53,7.53,6.41
"2019-05",7.56,7.56,6.47
"2019-06",7.39,7.39,6.43
"2019-07",7.38,7.38,6.51
"2019-08",7.39,7.39,6.56
"2019-09",7.39,7.39,6.57
"2019-10",7.33,7.33,6.5
"2019-11",7.26,7.26,6.49
"2019-12",7.34,7.34,6.57
"2020-01",7.38,7.38,6.65
"2020-02",7.33,7.33,6.7
"2020-03",7.44,7.44,6.94
"2020-04",7.62,7.62,7.3
"2020-05",7.7,7.7,7.5
"2020-06",7.59,7.59,7.41
"2020-07",7.64,7.64,7.42
"2020-08",7.42,7.42,7.2
"2020-09",7.17,7.17,6.98
"2020-10",7.01,7.01,6.76
"2020-11",6.97,6.97,6.61
"2020-12",6.83,6.83,6.48
"2021-01",6.82,6.82,6.48
"2021-02",6.78,6.78,6.42
"2021-03",6.69,6.69,6.4
"2021-04",6.61,6.61,6.28
"2021-05",6.54,6.54,6.2
"2021-06",6.47,6.47,6.1
"2021-07",6.33,6.33,6.12
"2021-08",6.31,6.31,6.16
"2021-09",6.23,6.23,6.13
"2021-10",6.2,6.2,6.09
"2021-11",6.21,6.21,6.11
"2021-12",6.19,6.19,6.17
"2022-01",6.34,6.34,6.36
"2022-02",6.39,6.39,6.49
"2022-03",6.54,6.54,6.56
"2022-04",6.54,6.54,6.74
"2022-05",6.61,6.61,6.9
"2022-06",6.58,6.58,6.9
"2022-07",6.74,6.74,7.08
"2022-08",6.75,6.75,7.11
"2022-09",6.76,6.76,7.17
"2022-10",6.89,6.89,7.27
"2022-11",6.89,6.89,7.27
"2022-12",7.28,7.28,7.34
"2023-01",7.52,7.52,7.53
"2023-02",7.66,7.66,7.65
"2023-03",7.53,7.53,7.6
"2023-04",7.63,7.63,7.68
"2023-05",7.72,7.72,7.79
"2023-06",7.61,7.61,7.67
"2023-07",7.7,7.7,7.72
"2023-08",7.63,7.63,7.63
"2023-09",7.56,7.56,7.58
"2023-10",7.56,7.56,7.54
"2023-11",7.42,7.42,7.42
"2023-12",7.26,7.26,7.33
"2024-01",7.3,7.3,7.29
"2024-02",7.29,7.29,7.23
"2024-03",7.19,7.19,7.19
"2024-04",7.27,7.27,7.2
"2024-05",7.26,7.26,7.22
"2024-06",7.13,7.13,7.16
"2024-07",7.02,7.02,7.19
"2024-08",6.91,6.91,7.14
"2024-09",6.84,6.84,7.06
"2024-10",6.76,6.76,6.96
"2024-11",6.66,6.66,6.85
"2024-12",6.58,6.58,6.83
"2025-01",8.22,8.22,8.88
"2025-02",7.04,7.04,7.47
"2025-03",8.21,8.21,8.92
"2025-04",7.23,7.23,7.71
"2025-05",7.22,7.22,7.76
"2025-06",7.45,7.45,8.01
