"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas","Brasil - PJ - Todas"
"2024-05",7.26,7.26,7.22,7.32
"2024-06",7.13,7.13,7.16,7.08
"2024-07",7.02,7.02,7.19,6.73
"2024-08",6.91,6.91,7.14,6.52
"2024-09",6.84,6.84,7.06,6.46
"2024-10",6.76,6.76,6.96,6.42
"2024-11",6.66,6.66,6.85,6.35
"2024-12",6.58,6.58,6.83,6.17
"2025-01",8.22,8.22,8.88,7.09
"2025-02",7.04,7.04,7.47,6.3
"2025-03",8.21,8.21,8.92,6.99
"2025-04",7.23,7.23,7.71,6.4
"2025-05",7.22,7.22,7.76,6.29
"2025-06",7.45,7.45,8.01,6.47
