"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas","Brasil - PJ - Todas"
"2016-03",3.32,3.32,4.03,2.68
"2016-04",3.51,3.51,4.14,2.92
"2016-05",3.55,3.55,4.13,3.02
"2016-06",3.4,3.4,3.99,2.84
"2016-07",3.47,3.47,4.07,2.88
"2016-08",3.55,3.55,4.04,3.07
"2016-09",3.57,3.57,4.06,3.08
"2016-10",3.73,3.73,4.08,3.38
"2016-11",3.6,3.6,4.01,3.18
"2016-12",3.5,3.5,3.87,3.12
"2017-01",3.52,3.52,3.91,3.11
"2017-02",3.64,3.64,3.94,3.32
"2017-03",3.76,3.76,3.93,3.58
"2017-04",3.84,3.84,3.98,3.7
"2017-05",3.97,3.97,3.99,3.94
"2017-06",3.56,3.56,3.68,3.43
"2017-07",3.56,3.56,3.79,3.29
"2017-08",3.55,3.55,3.77,3.31
"2017-09",3.46,3.46,3.73,3.14
"2017-10",3.52,3.52,3.72,3.29
"2017-11",3.47,3.47,3.64,3.27
"2017-12",3.2,3.2,3.45,2.91
"2018-01",3.39,3.39,3.64,3.09
"2018-02",3.4,3.4,3.63,3.12
"2018-03",3.29,3.29,3.57,2.96
"2018-04",3.26,3.26,3.55,2.9
"2018-05",3.28,3.28,3.53,2.96
"2018-06",3.02,3.02,3.41,2.54
"2018-07",2.98,2.98,3.42,2.44
"2018-08",2.98,2.98,3.36,2.5
"2018-09",2.99,2.99,3.35,2.54
"2018-10",2.97,2.97,3.3,2.56
"2018-11",2.89,2.89,3.22,2.46
"2018-12",2.77,2.77,3.17,2.25
"2019-01",2.86,2.86,3.26,2.33
"2019-02",2.81,2.81,3.22,2.26
"2019-03",2.86,2.86,3.3,2.29
"2019-04",2.88,2.88,3.28,2.35
"2019-05",2.92,2.92,3.33,2.37
"2019-06",2.86,2.86,3.26,2.32
"2019-07",2.96,2.96,3.36,2.39
"2019-08",2.98,2.98,3.4,2.39
"2019-09",2.97,2.97,3.46,2.28
"2019-10",2.94,2.94,3.44,2.22
"2019-11",2.91,2.91,3.44,2.14
"2019-12",2.83,2.83,3.41,2
"2020-01",2.95,2.95,3.54,2.08
"2020-02",2.97,2.97,3.58,2.08
"2020-03",3.17,3.17,3.89,2.18
"2020-04",3.25,3.25,4.02,2.22
"2020-05",3.2,3.2,3.93,2.23
"2020-06",2.83,2.83,3.53,1.9
"2020-07",2.67,2.67,3.39,1.73
"2020-08",2.55,2.55,3.19,1.73
"2020-09",2.29,2.29,2.96,1.43
"2020-10",2.21,2.21,2.85,1.39
"2020-11",2.11,2.11,2.81,1.2
"2020-12",2.01,2.01,2.7,1.13
"2021-01",2.06,2.06,2.75,1.16
"2021-02",2.16,2.16,2.8,1.33
"2021-03",2.08,2.08,2.76,1.18
"2021-04",2.14,2.14,2.8,1.27
"2021-05",2.27,2.27,2.87,1.46
"2021-06",2.2,2.2,2.78,1.4
"2021-07",2.26,2.26,2.83,1.47
"2021-08",2.2,2.2,2.84,1.3
"2021-09",2.21,2.21,2.84,1.34
"2021-10",2.23,2.23,2.86,1.35
"2021-11",2.27,2.27,2.9,1.36
"2021-12",2.25,2.25,2.92,1.28
"2022-01",2.41,2.41,3.15,1.33
"2022-02",2.49,2.49,3.29,1.33
"2022-03",2.51,2.51,3.34,1.31
"2022-04",2.58,2.58,3.42,1.34
"2022-05",2.65,2.65,3.53,1.36
"2022-06",2.56,2.56,3.45,1.25
"2022-07",2.7,2.7,3.6,1.34
"2022-08",2.76,2.76,3.66,1.39
"2022-09",2.78,2.78,3.69,1.41
"2022-10",2.9,2.9,3.8,1.51
"2022-11",2.92,2.92,3.81,1.53
"2022-12",2.94,2.94,3.83,1.58
"2023-01",3.12,3.12,3.99,1.73
"2023-02",3.26,3.26,4.07,1.95
"2023-03",3.23,3.23,4.01,1.99
"2023-04",3.43,3.43,4.15,2.26
"2023-05",3.55,3.55,4.25,2.4
"2023-06",3.46,3.46,4.1,2.42
"2023-07",3.53,3.53,4.14,2.53
"2023-08",3.51,3.51,4.06,2.6
"2023-09",3.43,3.43,3.95,2.58
"2023-10",3.43,3.43,3.88,2.69
"2023-11",3.31,3.31,3.76,2.55
"2023-12",3.15,3.15,3.67,2.3
"2024-01",3.23,3.23,3.7,2.44
"2024-02",3.23,3.23,3.68,2.47
"2024-03",3.19,3.19,3.65,2.4
"2024-04",3.21,3.21,3.68,2.42
"2024-05",3.27,3.27,3.74,2.48
"2024-06",3.17,3.17,3.67,2.32
"2024-07",3.2,3.2,3.74,2.28
"2024-08",3.22,3.22,3.78,2.28
"2024-09",3.21,3.21,3.75,2.3
"2024-10",3.17,3.17,3.69,2.27
"2024-11",3.13,3.13,3.66,2.24
"2024-12",3.05,3.05,3.62,2.11
"2025-01",3.35,3.35,3.93,2.36
"2025-02",3.47,3.47,4.04,2.48
"2025-03",3.47,3.47,4.06,2.47
"2025-04",3.71,3.71,4.28,2.73
"2025-05",3.79,3.79,4.42,2.72
"2025-06",3.82,3.82,4.47,2.73
